,source,dataset,model,seed,n_rows,n_features,r2,fit_time_sec,predict_time_sec
0,openml,Concrete Slump,spectral_fast,1,103,7,0.3359479652825147,0.13018968000051245,0.00014877000012347708
1,openml,Concrete Slump,spectral_fast,2,103,7,0.2723878554029384,0.08683065000059287,0.00010286999986419687
2,openml,Concrete Slump,spectral_fast,3,103,7,-0.2529570027216077,0.08505827999942994,0.00012419999984558672
3,openml,Concrete Slump,spectral_fast,4,103,7,0.08674012587203084,0.09342009000010876,0.00021131999983481364
4,openml,Concrete Slump,spectral_fast,5,103,7,0.14979522879288687,0.21120723000058206,0.0001513799998065224
5,openml,Concrete Slump,spectral_slow,1,103,7,-0.3625347838212998,0.27642131999982666,0.00013284000033308985
6,openml,Concrete Slump,spectral_slow,2,103,7,0.3561834461251645,0.13374297000063962,0.00010169999950448982
7,openml,Concrete Slump,spectral_slow,3,103,7,-0.12996405142979106,0.12884544000007736,0.00014804999955231324
8,openml,Concrete Slump,spectral_slow,4,103,7,0.12093706107757574,0.12470093999945675,8.360999981960049e-05
9,openml,Concrete Slump,spectral_slow,5,103,7,0.26695075595232476,0.1921205700000428,0.00012726000022666994
10,openml,Concrete Slump,xgboost,1,103,7,-0.07665070348530945,0.034561170000415586,0.0008019899996725144
11,openml,Concrete Slump,xgboost,2,103,7,0.4753430671041601,0.07331913000052737,0.004811130000234698
12,openml,Concrete Slump,xgboost,3,103,7,-0.3521544961821621,0.1079675099999804,0.0008202600001823157
13,openml,Concrete Slump,xgboost,4,103,7,0.06878342661198533,0.08161505999942165,0.011413350000111677
14,openml,Concrete Slump,xgboost,5,103,7,0.5209053896375135,0.05969799000013154,0.005369670000618498
15,openml,Concrete Slump,rff,1,103,7,-0.10710277849032224,0.025098749999415304,0.0008474400001432514
16,openml,Concrete Slump,rff,2,103,7,-0.07176542171916256,0.005426549999356212,0.0006521400000565336
17,openml,Concrete Slump,rff,3,103,7,-0.11657202256593036,0.003152610000142886,0.0006195599999045953
18,openml,Concrete Slump,rff,4,103,7,-0.025345564660936404,0.0038829599998280173,0.0006472800005212775
19,openml,Concrete Slump,rff,5,103,7,-0.16573161165002603,0.003660479999780364,0.0006394500005626469
20,openml,Yacht Hydrodynamics,spectral_fast,1,308,6,0.9925595711041579,0.10109933999956411,0.00016434000008302974
21,openml,Yacht Hydrodynamics,spectral_fast,2,308,6,0.9934089785963397,0.0858458700004121,0.0002133899997716071
22,openml,Yacht Hydrodynamics,spectral_fast,3,308,6,0.9723132533479119,0.07340048999958526,0.00022877999981574249
23,openml,Yacht Hydrodynamics,spectral_fast,4,308,6,0.9863479973108897,0.057833730000311334,0.00012303000039537437
24,openml,Yacht Hydrodynamics,spectral_fast,5,308,6,0.9844231491234321,0.06378687000051286,0.0001295100000788807
25,openml,Yacht Hydrodynamics,spectral_slow,1,308,6,0.9993786582846663,0.31985766000070726,0.0005810399998154026
26,openml,Yacht Hydrodynamics,spectral_slow,2,308,6,0.9974968346412763,0.36630501600029675,0.00036233999981050147
27,openml,Yacht Hydrodynamics,spectral_slow,3,308,6,0.9994514689367479,3.5730471599999873,0.0011674800007313024
28,openml,Yacht Hydrodynamics,spectral_slow,4,308,6,0.9970907503179595,0.3713270400003239,0.00032417999955214327
29,openml,Yacht Hydrodynamics,spectral_slow,5,308,6,0.9951394360374052,0.9460984500001359,0.0006160500006444636
30,openml,Yacht Hydrodynamics,xgboost,1,308,6,0.9969800053861209,0.0651025799998024,0.0009376200005135615
31,openml,Yacht Hydrodynamics,xgboost,2,308,6,0.9990598716796514,0.07995870000013383,0.0010001699993154034
32,openml,Yacht Hydrodynamics,xgboost,3,308,6,0.9975142765123713,0.031151340000178607,0.000893069999619911
33,openml,Yacht Hydrodynamics,xgboost,4,308,6,0.9949554353487018,0.040012289999140194,0.0009583199998814962
34,openml,Yacht Hydrodynamics,xgboost,5,308,6,0.9966794442749682,0.08560728000065865,0.0010149299996555783
35,openml,Yacht Hydrodynamics,rff,1,308,6,0.4414642808309115,0.01812762000008661,0.0014994900002420763
36,openml,Yacht Hydrodynamics,rff,2,308,6,0.38245961130329886,0.013291920000483515,0.0012283199994271854
37,openml,Yacht Hydrodynamics,rff,3,308,6,0.43902771228318727,0.013555350000387989,0.0012580200000229524
38,openml,Yacht Hydrodynamics,rff,4,308,6,0.46298880118031616,0.013523579999855428,0.0013443300003928016
39,openml,Yacht Hydrodynamics,rff,5,308,6,0.39420057894401084,0.013290930000039225,0.00130148999960511
40,openml,Cancer Drug Response,spectral_fast,1,475,697,0.2515338524104259,0.4022458199997345,0.0030592800003432785
41,openml,Cancer Drug Response,spectral_fast,2,475,697,0.46021658163827805,0.44034516000010626,0.0038778299995101406
42,openml,Cancer Drug Response,spectral_fast,3,475,697,0.3235629417884903,0.44834741999966354,0.0037302299997463706
43,openml,Cancer Drug Response,spectral_fast,4,475,697,0.3351985889355462,0.44696483999996417,0.0030668399995192885
44,openml,Cancer Drug Response,spectral_fast,5,475,697,0.4357505912813501,0.46370699999988574,0.0032195699996009353
45,openml,Cancer Drug Response,spectral_slow,1,475,697,0.14239533465599208,4.7795717099998,0.0073317129999850295
46,openml,Cancer Drug Response,spectral_slow,2,475,697,0.32886207279234125,4.335038846999851,0.010406930000499415
47,openml,Cancer Drug Response,spectral_slow,3,475,697,0.19753571708357986,4.4063013469994985,0.017840483999862045
48,openml,Cancer Drug Response,spectral_slow,4,475,697,0.21210751362369484,4.861172778999389,0.0071677800006000325
49,openml,Cancer Drug Response,spectral_slow,5,475,697,0.16734753582555606,4.361234489999333,0.007315470000321511
50,openml,Cancer Drug Response,xgboost,1,475,697,0.2594306934472007,8.355961305000164,0.0018919799995273934
51,openml,Cancer Drug Response,xgboost,2,475,697,0.4632048006707593,5.4549981449999905,0.0017769679998309584
52,openml,Cancer Drug Response,xgboost,3,475,697,0.3209411904469821,4.627518811999835,0.001960218000021996
53,openml,Cancer Drug Response,xgboost,4,475,697,0.4154464487059304,4.969847237000067,0.0016253980002147728
54,openml,Cancer Drug Response,xgboost,5,475,697,0.3280482675278187,4.362550918999659,0.0015945300001476426
55,openml,Cancer Drug Response,rff,1,475,697,-0.16359476391384953,0.16323534000002837,0.045249839999996766
56,openml,Cancer Drug Response,rff,2,475,697,-0.24981363646438082,0.22349673000007897,0.040107869999701506
57,openml,Cancer Drug Response,rff,3,475,697,-0.14070372499590755,0.15196940999976505,0.03263463000075717
58,openml,Cancer Drug Response,rff,4,475,697,-0.2804919129262051,0.09289764000004652,0.03288932999930694
59,openml,Cancer Drug Response,rff,5,475,697,-0.2247560365357637,0.21604166999986774,0.034732529999928374
60,openml,Aquatic Toxicity,spectral_fast,1,546,8,0.4637423151966159,0.1250187300001926,0.00031149000005825656
61,openml,Aquatic Toxicity,spectral_fast,2,546,8,0.4450408444554652,0.174375720000171,0.0005599800006166333
62,openml,Aquatic Toxicity,spectral_fast,3,546,8,0.5698222655118712,0.1493873999997959,0.0003672900002129609
63,openml,Aquatic Toxicity,spectral_fast,4,546,8,0.5228853962866182,0.10206396000012319,0.0003463200000624056
64,openml,Aquatic Toxicity,spectral_fast,5,546,8,0.5755907752407244,0.1406732400000692,0.0005288399997880333
65,openml,Aquatic Toxicity,spectral_slow,1,546,8,0.39405095356220154,1.6060485600000902,0.0012456899994504056
66,openml,Aquatic Toxicity,spectral_slow,2,546,8,0.2884173751225547,0.7102278899992598,0.0009579600000506616
67,openml,Aquatic Toxicity,spectral_slow,3,546,8,0.5001320330301942,4.435800017000474,0.0019246499996370403
68,openml,Aquatic Toxicity,spectral_slow,4,546,8,0.41466629549820777,3.9227905799998553,0.0014273100005084416
69,openml,Aquatic Toxicity,spectral_slow,5,546,8,0.6976433809189642,0.39751964999959455,0.0005687100001523504
70,openml,Aquatic Toxicity,xgboost,1,546,8,0.3377830459846982,0.11108402999980171,0.0012270600000192644
71,openml,Aquatic Toxicity,xgboost,2,546,8,0.399805704799567,0.0821217600005184,0.0011429099995439174
72,openml,Aquatic Toxicity,xgboost,3,546,8,0.4908812032457439,0.14214437999999063,0.0012818700006391737
73,openml,Aquatic Toxicity,xgboost,4,546,8,0.3898737086819868,0.09717948000070464,0.0013349700002436293
74,openml,Aquatic Toxicity,xgboost,5,546,8,0.5377580780729458,0.0950692500000514,0.0012808799992853892
